name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type
03 17 2017 slice 4 cell 7,0.0,-20.225003361701965,106.52918908149039,63.283491879701614,-39.28671404719353,0.5200000000000066,104,173.4650851786136,-73.85710947275162,12.160000000000004,80.0,1.0400776902805084,6.935729231789421,LBC
08 22 2017 slice 3 cell 6,0.0,-23.70106801390648,122.95244209062216,65.44873490929604,-40.196072310209274,0.4799999999999943,113,184.65572336316114,-55.10604658365251,18.84000000000001,33.0,1.0331767330704105,6.1921679749232545,LBC
01 31 2017 slice 3 cell 7,0.0,-18.90721544623375,111.21200243881188,64.65456821024418,-38.51304203271866,0.5600000000000049,65,133.41284023225307,-61.902856371104725,17.280000000000005,120.0,1.064584187410103,8.508658749324198,LBC
05 10 2017 slice 2 cell 2,0.0,-17.902668565511703,111.00492814932718,62.886880710721016,-37.8006212413311,0.5199999999999927,92,166.39559730887422,-68.46822464525698,14.719999999999997,134.1818181818182,1.047002290623179,6.484050487583765,LBC
10 19 2016 slice 1 cell 7,0.0,-18.09564232826233,119.64349099298961,59.78822708129883,-42.96819865703583,0.4799999999999943,117,92.21075274050241,-65.67448130816221,14.840000000000005,180.0,1.0608026397027137,7.120983032919201,LBC
03 06 2017 slice 1 cell 2,0.0,-18.348537385463715,125.06459948320393,64.10593166947365,-36.215316504240036,0.5200000000000066,63,114.0666926950216,-58.09969629645347,12.160000000000004,210.0,1.0723276373777748,9.30896416198708,LBC
10 19 2016 slice 1 cell 2,0.0,-17.7917443215847,126.85289606640211,62.50661611557007,-32.229822129011154,0.43999999999999595,129,101.41454400122163,-67.7531131118536,9.000000000000007,372.66666666666663,1.0510357139498254,7.0040952140884345,LBC
05 16 2017 slice 5 cell 2,0.0,-25.318246334791183,112.42454383317337,62.46508285403252,-43.049950152635574,0.40000000000001146,129,164.05941043794155,-73.20286083191633,18.759999999999998,80.0,1.0969736843330244,4.780194136105333,LBC
07 28 2017 slice 2 cell 7,0.0,-23.54905754327774,109.6635367762128,56.66240490972996,-28.101250529289246,0.5200000000000066,88,221.07897497713557,-61.868926783502104,22.000000000000007,95.44247787610622,1.0284708824989472,6.3350893857476445,LBC
05 10 2017 slice 2 cell 4,0.0,-18.000002950429916,120.0750671010895,80.03124967217445,-35.1249985396862,0.40000000000001146,79,135.88131140172487,-74.3660563352704,10.400000000000006,260.0,1.0228060477554712,6.080402726417098,LBC
02 24 2017 slice 1 cell 2,0.0,-17.599571496248245,114.78571428571425,73.29379767179489,-32.79470279812813,0.6000000000000033,53,189.00650046765801,-66.48828937262297,13.240000000000002,156.48351648351647,1.0261566020430977,9.625540380025473,LBC
05 16 2017 slice 1 cell 2,0.0,-19.02928203344345,114.97530864197536,69.41550783813,-39.25979509949684,0.4800000000000082,79,134.26543170213694,-65.16057269632816,9.2,200.0,1.047986963364526,7.885804484295368,LBC
