name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type
09 17 2018 slice 9 cell 7,0.0,-11.968489736318588,131.92263202384683,70.6231463700533,-52.33908072113991,0.6399999999999739,60,184.27241839468476,-70.79135710678995,31.84000000000001,30.727659574468078,1.2190708911661523,11.446798961467135,NMC
12 15 2017 slice 3 cell 7,0.0,-7.237572222948074,116.51305683563731,70.01833617687225,-45.287851244211204,0.7600000000000107,53,151.17265950143346,-65.27405074596405,108.48000000000002,80.0,1.1671505335506855,9.785296985424985,NMC
09 18 2018 slice 3 cell 2,0.0,-11.56054064631462,113.917289100139,78.35458964109421,-41.136384010314934,0.7199999999999984,48,139.81832686066625,-64.70021021723747,35.68000000000001,170.9090909090909,1.0634665271716828,9.189994613265016,NMC
09 18 2018 slice 3 cell 7,0.0,-11.47029921412468,149.86555762175203,75.09992085397243,-45.83407938480377,0.6400000000000017,71,126.3553456366062,-64.4642357480526,43.00000000000001,56.57142857142857,1.3147354548665409,12.988083217842656,NMC
09 17 2018 slice 10 cell 2,5.138717591762543,-12.782417237758635,130.22827687776146,78.28292250633241,-41.77306219935417,0.7200000000000262,51,190.1856706887484,-69.44086382538082,52.88000000000001,95.23809523809523,1.067297297350149,9.223505305636133,NMC
09 17 2018 slice 10 cell 3,2.9434710741043086,-15.751831233501436,101.73468025030523,68.64932924509047,-37.705779075622566,0.6800000000000139,34,184.45099700987348,-74.10467975169418,132.68,95.0,1.0678126491632904,11.945906977111635,NMC
12 15 2017 slice 2 cell 2,0.0,-10.22682711482048,115.3386062169223,88.06271478533745,-56.17111548781395,0.6800000000000139,42,264.7317544072866,-61.41221240743994,47.48,15.0,1.0466605956149633,14.106033216374454,NMC
09 18 2018 slice 1 cell 2,0.0,-9.21652838587761,134.1000967943973,73.36680963635446,-38.52666169404984,0.7999999999999952,39,154.98181416094297,-56.139449311494815,86.56,34.736842105263165,1.3719735428648527,11.262943554468812,NMC
07 27 2018 slice 5 cell 2,0.0,-15.126824378967285,136.13002285278995,71.5204179286957,-50.78870803117752,0.5999999999999894,58,244.95537798106682,-65.28427356749772,25.480000000000004,20.0,1.1613249945509874,13.170749274596204,NMC
07 17 2017 slice 3 cell 2,5.5111609399318695,-8.322127163410189,159.99999999999997,83.63380655646323,-41.6811965405941,0.7199999999999984,19,336.4537914991376,-68.93952033340932,26.960000000000008,20.0,1.0812146588477611,19.5520743334462,BPC
